Temperature (K)	Pressure (atm)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, F/atm)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, F/atm)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
552.00	62.235	752.31	0.0013292	22.024	22.175	55.088	55.617	94.907	1018.2	0.018761	9.4006e-05	0.58255	0.019262	32.538	0.030734	46.612	50.103	105.68	49.335	90.455	492.44	2.3293	1.8580e-05	0.060395
553.00	63.184	750.54	0.0013324	22.115	22.269	55.254	55.581	95.232	1013.3	0.019542	9.3609e-05	0.58123	0.019028	33.082	0.030228	46.597	50.083	105.55	49.520	91.270	491.99	2.3111	1.8623e-05	0.060814
554.00	64.143	748.76	0.0013355	22.207	22.363	55.420	55.546	95.564	1008.4	0.020337	9.3214e-05	0.57990	0.018794	33.635	0.029731	46.581	50.062	105.42	49.706	92.101	491.54	2.2931	1.8667e-05	0.061240
555.00	65.113	746.97	0.0013387	22.299	22.458	55.587	55.511	95.904	1003.5	0.021148	9.2820e-05	0.57856	0.018561	34.198	0.029242	46.565	50.041	105.29	49.893	92.949	491.07	2.2753	1.8711e-05	0.061672
556.00	66.094	745.17	0.0013420	22.391	22.553	55.754	55.477	96.250	998.58	0.021974	9.2428e-05	0.57721	0.018327	34.769	0.028762	46.549	50.019	105.15	50.082	93.814	490.59	2.2575	1.8755e-05	0.062110
557.00	67.087	743.35	0.0013453	22.483	22.648	55.920	55.443	96.604	993.61	0.022816	9.2037e-05	0.57586	0.018094	35.349	0.028289	46.532	49.996	105.02	50.271	94.697	490.10	2.2400	1.8800e-05	0.062556
558.00	68.091	741.53	0.0013486	22.576	22.743	56.087	55.410	96.965	988.61	0.023675	9.1647e-05	0.57449	0.017861	35.939	0.027825	46.515	49.973	104.89	50.462	95.599	489.60	2.2225	1.8845e-05	0.063008
559.00	69.106	739.68	0.0013519	22.669	22.839	56.254	55.378	97.335	983.59	0.024550	9.1258e-05	0.57312	0.017628	36.538	0.027369	46.497	49.949	104.75	50.655	96.520	489.10	2.2052	1.8890e-05	0.063467
560.00	70.133	737.83	0.0013553	22.762	22.935	56.422	55.347	97.713	978.54	0.025442	9.0871e-05	0.57174	0.017396	37.147	0.026920	46.478	49.925	104.62	50.848	97.461	488.58	2.1881	1.8936e-05	0.063934
561.00	71.172	735.96	0.0013588	22.855	23.032	56.589	55.316	98.099	973.46	0.026352	9.0484e-05	0.57034	0.017163	37.766	0.026479	46.459	49.899	104.48	51.043	98.422	488.05	2.1710	1.8982e-05	0.064409
562.00	72.222	734.08	0.0013622	22.949	23.129	56.757	55.286	98.494	968.35	0.027280	9.0099e-05	0.56894	0.016931	38.395	0.026045	46.440	49.873	104.35	51.239	99.405	487.51	2.1541	1.9029e-05	0.064891
563.00	73.284	732.19	0.0013658	23.043	23.226	56.925	55.256	98.898	963.21	0.028226	8.9714e-05	0.56753	0.016699	39.035	0.025618	46.420	49.847	104.21	51.436	100.41	486.96	2.1373	1.9076e-05	0.065382
564.00	74.358	730.28	0.0013693	23.137	23.323	57.093	55.227	99.312	958.05	0.029192	8.9331e-05	0.56611	0.016467	39.685	0.025199	46.399	49.820	104.07	51.635	101.44	486.40	2.1207	1.9124e-05	0.065881
565.00	75.444	728.36	0.0013729	23.232	23.421	57.261	55.199	99.735	952.85	0.030178	8.8948e-05	0.56468	0.016236	40.346	0.024786	46.378	49.792	103.94	51.835	102.49	485.83	2.1041	1.9171e-05	0.066389
566.00	76.543	726.42	0.0013766	23.327	23.519	57.430	55.172	100.17	947.63	0.031185	8.8566e-05	0.56324	0.016005	41.018	0.024380	46.357	49.763	103.80	52.036	103.56	485.24	2.0877	1.9220e-05	0.066906
567.00	77.653	724.47	0.0013803	23.422	23.617	57.598	55.145	100.61	942.38	0.032212	8.8185e-05	0.56179	0.015774	41.701	0.023980	46.334	49.733	103.66	52.239	104.66	484.65	2.0714	1.9269e-05	0.067433
568.00	78.776	722.51	0.0013841	23.517	23.716	57.768	55.120	101.07	937.09	0.033261	8.7805e-05	0.56033	0.015543	42.396	0.023587	46.312	49.703	103.52	52.443	105.79	484.04	2.0552	1.9318e-05	0.067969
569.00	79.911	720.53	0.0013879	23.613	23.815	57.937	55.095	101.53	931.78	0.034333	8.7425e-05	0.55886	0.015313	43.103	0.023200	46.288	49.672	103.38	52.649	106.94	483.42	2.0392	1.9368e-05	0.068516
570.00	81.058	718.53	0.0013917	23.709	23.915	58.106	55.071	102.01	926.44	0.035428	8.7046e-05	0.55738	0.015082	43.822	0.022820	46.264	49.641	103.24	52.856	108.13	482.79	2.0232	1.9418e-05	0.069073
571.00	82.218	716.52	0.0013956	23.805	24.015	58.276	55.048	102.50	921.06	0.036546	8.6667e-05	0.55589	0.014853	44.553	0.022445	46.239	49.608	103.10	53.065	109.34	482.15	2.0073	1.9469e-05	0.069640
572.00	83.391	714.49	0.0013996	23.902	24.115	58.447	55.025	103.00	915.66	0.037689	8.6289e-05	0.55438	0.014623	45.297	0.022077	46.214	49.575	102.96	53.275	110.58	481.50	1.9916	1.9520e-05	0.070219
